id,user
1244221592575463425,hmmworldview
72016096,clickondetroit
241640955,KatTompkins
1221805349205762048,PregunticasGame
1236558680985939968,bonjourdakar
405194953,TBBusiness
1239213814488367112,CANAL44TV
2269557301,SandraC42595084
182181105,tcsnoticias
1249597641383653376,ronmc1
54392227,jokosudarso3
19236297,ListinDiario
12716032,peru21noticias
14411304,jawapos
797547199928422401,KellyRek
35047698,Expresoec
2893298803,OneindiaBengali
20908378,cl_diff
1945979065,Expresoec
313862119,ServPublicosVe
164024707,CoronaLiveStats
1242375051019722753,franceinfo
962305884,dailymailindia
236093569,Expresoweb
149267484,h24news_us
56470183,RsaCovid
17674244,covid19_monitor
1104734421717041152,edithfalcon
95913190,AprilHare4
1219165274550587392,VaguthuOnline
919872061287424000,AfraniodeAquino
1131291683709227015,akynnis
865624663841320960,rcnradio
60781422,ApnaSmartphone
110551404,biswaranjan412
2329058035,CHVNoticias
10067912,abendblatt
972804638,yuliadiana1
166488367,uc
1133379009348292608,Open_gol
1254767658865586179,ahmetisitez
1242471146995490822,DominicanosNYC
3307127799,prameyaodia
353119109,bcnlegends
1089105580977836032,televicentrohn
1199771785148993536,VIEmediaNEWS
1228289508,soloposdotcom
14076534,FAZ_Vermischtes
1073621003090231297,scheel_lala
740427541220065280,coronaluege
2947732005,PolsekTgw
105186569,hoicodovn
822072073468186624,valenciaplaza
131317692,indiaedudiary
24275493,geloraco
1227954537782222854,LeoninoJorge
216655793,x4xATfHkdsgdAL4
1115535137767342080,elpotosinet
1561344594,RahulSi60262144
3428990109,noticiasprensa
604360798,NaijaNews
16984207,Dobieblue
415816193,CoronaScanner
210805091,myglnews
44465517,omnigist
253020963,SputnikMundo
1686033836,adityak73591660
1245751947136770055,lmtnews
63411616,SputnikMundo
1372805012,hariankompas
319499439,rcnmundo
945240916071088128,budzis
1231017247721893890,EurasiaReview
989218016255709186,MSNindonesia
262026799,ahval_tr
1226761291408166914,iamrehan1986
762607341233668097,galiciapress
1124021016487972866,smith0000121
928862938496106496,foggybottomgal
957169156419276801,beritaminangcom
1601016846,Radio_Formula
336913049,TheFrontierPost
541940527,GazetaRu
754301851407880192,runews24ru
279654413,ghanaguardian1
195505987,El_Clarinete
475657296,thatstamil_
413722926,FastWorldNews5
3656337372,EuroZpravycz
1231118747819069440,noticiashoyweb
2920520052,JanetWa94118686
3209460381,mrakcreation
1254906887490936845,i_trafficKZN
523658595,ugamatv
278456481,dw504966
23240238,eluniversocom
1879791901,DiarioMarcaOax
48206728,dailystandnews
111238879,michelelefevre1
1227266564027645952,kpcwriter
248890506,brasil247
18396319,CNEWS
3744382394,jonathansurbak1
4608951440,UOLNoticias
25530716,NowNewsPK
1227841442,otcdynamics
876794243443859456,rooms_data
64022962,ElBigDataMx
1211557168387768321,kibris_postasi
59500310,SPIEGEL_alles
380845568,DiarioTiempo
607924482,senactu7com
264934281,antarapapua
86231512,TelediarioGT
2794715408,mjbtimes
6038642,khabar_pakki
1243805183055925248,el_dinamo
1234021666315030528,tromepe
1237521834309865472,BRKINGCORONAVRS
1610395225,e_consulta
3835998705,ZHMalayalam
769961688141537280,NuestraMerida
549467184,dakaractu
119756265,LaStampa
76401350,dontbeinsane_
354537587,VirusTrend
155171363,sakshisamachar
2881141499,PeruNewsTV
1147707158709981184,Newsdailyng1
153407983,SDSUgrad1983
1248658308489232385,tngreports
3170407576,KUWTAofficial
25982509,marquesinap
2792557771,eldestapeweb
93381888,yespunjab
18552451,LeQuotidien_Cyb
1170005964,MSNAustralia
14549486,rancheritaxemu
6468102,COVID19BrUpdate
14847074,DiariodeMorelos
1249171724341350400,thengblogg
3259569392,RatikWaraTftt
1726365372,dicenlosmedios
18527874,times2in
3840480374,RCVHonduras
90423302,DiarioContraste
13062722,eThingsToDo1
1238449784446427138,lavozdetarija
406564080,PolemicaParaiba
1174479032,lavoixdelest
34093672,proudCanadavet
3780892932,CiberCuba
4295591178,doorbulletin
14859642,FinancialBrand
3557496257,WikiScene_Infos
790390541066338309,OoizumiGakuenNV
21313364,Agencia_Andina
3320693225,Record_Portugal
305493136,avpnews_live
246839997,LeSiteInfoFR
335891957,Dataemia
1061189184369713152,clin_owl
2853492725,bostonherald
384731062,2Polsek
34262462,SputnikInt
2994951365,PrameyaEnglish
82956754,SetmanariEbre
52247080,timesfastnews
19713578,gentecosmotv
2834511,dgift_jp
347804990,ELRobotAmarillo
1167579919393722368,oneonlinemv
144678130,SmorfiaDigitale
102798847,blogrobsonpires
2260300074,Dogruhaber
232454750,tunota_com
1242859653119295489,elprogreso_Lugo
1079180428161007616,ltravel395
4838674529,itajainfo
256096821,asiaonecom
299809292,Covid19Briefing
137612440,RadioPuntoGT
1050252541,euronewsgr
88714239,elperiodic
4662840476,europa_sur
809622421451997184,LaNetaNeta_
1067064889821224960,Rosalin77610005
18916699,elsurdeguerrero
114888384,UncleJamhoriat
419448110,ContactoHoy
1241080332994174976,Avilared
66715854,ndtvrecordtv
1256050194161926144,elciudadanoweb
3309576164,elboletinmadrid
1182665278917885955,Ben_s214
1240693818099486722,gccmovil
1044937263489134592,pulsopoliticoax
132508193,CovidBot1
1149334292687925248,minamaya13
1106579971663892480,fontanabuona
781878212171300864,DonSinoptico
3002402883,deonnain
121757796,ZoroDailyNews
520653311,AristeguiOnline
100521965,MalaysiaGazette
1186524256848502784,CHVNoticias
