screen_name,score
Anonylyzer13,0.9986
kellywind,0.4653
BobbiefromIL,0.9903
MontyBoa99,0.9912
AscotBlack,0.0209
dutchDemocrat,0.8864
paulcshipley,0.1577
editor_wp,Error
JStormogipson,0.9440
JaxFaux,Error
RRalstonAgile,0.0579
KristianHarstad,0.9936
Getrealorelse,0.9180
matchbox982,0.9548
aetiology,0.0883
MerrillLynched,0.9990
paintsandsings,0.9987
craigbob99,0.9870
AlanBixter,0.5844
trvrb,0.0507
k_helca,0.9886
Musicaypaz5011,0.9776
CollegeTerrace1,0.4287
apuntnoticies,0.1283
MauriceMartin01,0.5384
Tendencio,0.9139
jo_nur_jo,0.3695
JohnTheWhite1,0.7251
RealSexyCyborg,0.2849
We3forDemocracy,0.8856
DaveDemocracy,Error
HorianaNee,0.8229
jkwan_md,0.4329
TheWiseCrow1,0.9224
Darky999,0.8676
katylindemann,0.9970
spookybun,0.2595
CNBCTV18Live,0.2183
CT_Bergstrom,0.9524
DaveKelley6,0.9983
0bFuSc8,0.9371
chawong852,0.8074
KellyOverCorona,0.9993
denisewu,0.2706
AlanVRK,0.8009
ChaunceyGardner,0.6700
Sherlockhome69,0.9921
Laurie_Garrett,0.8984
babarlelephant,0.3573
toad_spotted,0.9034
DagmarUnger,0.9433
FaithfulFortitu,0.9998
deepbarot,0.8425
Hugo_Lz,0.9496
utopianindigent,0.9995
FocusFR_,0.3821
luigi_warren,0.9702
scruffy65,0.9942
lbpyyz,0.7082
RussellSieg,0.9600
darinp2,0.9618
rhiles2760,0.7803
JSAHolmes,0.9717
IMHO1969,0.8929
soloyochapin,0.4259
_NewsView,0.9676
myknittingwool,0.4639
ME_Valentijn,0.9545
LettersfromTim,0.9922
Boston_Grandpa,0.4205
FreedomTVR,0.0336
CynthiaCWoods,0.9946
Pravduh15,0.5395
YossiGestetner,0.9668
ThatVDOVault,0.3983
Cat_Kapow,0.5496
JamieRJN,0.9812
OrRite_Then,0.8045
ngranati,0.6369
happyhexer,0.2361
an_leavy,0.2047
rosenfieldclar1,0.8980
PeterDaszak,0.8363
YayImNotaBot,0.4433
4ReUnitedStates,0.9821
SmartPrepperMom,Error
Tactical_blonde,0.9841
BiotechObserver,0.9975
jonst0kes,0.6415
NYtitanic1999,0.3973
ZemanLynnZ,0.2161
NotATweeter16,0.9992
chargrille,0.9172
humanspan,0.5374
kurteichenwald,0.9882
TheStephenRalph,0.7044
sanchak74,0.7515
2019nCoVwatcher,0.4428
T_Inglesby,0.0539
i4dzn,0.9860
MelissaSweetDr,0.9896
FredWilliams77,0.9998
rhonda_harbison,0.9604
QuinntisG,0.1052
Seattle2019nCov,0.0372
pmagn,0.7649
smc429,0.2407
HenkPoley,0.9560
MomSkelton,0.8311
GailCoastie,0.3938
FirstMainDesign,0.9958
andrew_lilico,0.2188
MedPierre,0.9886
StuartBudd1,0.8373
observatorio14,0.9958
EndGameWW3,0.9849
arapaho415,0.4908
HopesMom12,0.9720
ketaminh,0.9946
JeremyKonyndyk,0.1676
aronro,0.3765
Duktiamat,0.8355
angie_rasmussen,0.0844
christymaginn,0.9785
AmyVernon,0.1193
LaurieFare1,0.7622
PaulLomax,0.2409
ABsteward,0.2255
BrianGoodlife,0.9853
nancysantanello,0.9325
RichardZolotor,0.0377
TheRealSkriver,0.9159
jukka235,0.1463
LgSOS,0.9798
boosulyn,0.2540
5afe_,0.0016
AAC0519,0.5017
hardenuppete,0.8408
LuluLemew,0.9483
Fran_Neena20409,0.9003
HalMarshall2309,0.9410
CarlosdelRio7,0.0367
bhalomanush,0.8344
drea_ams,0.9930
denver_mccomb,0.9583
Nick_Carmody,0.3328
Thomas_Wilckens,0.0160
celinegounder,0.6055
socflyny,0.3054
DavePerrino,0.3887
jamft,0.9980
flowermusickids,0.9148
2dedostesta,0.6165
davegreenidge57,0.0878
Cioccolata234,0.3880
melaniepeppin,0.9399
AnalystHealth,Error
l_lucullus,0.5780
michael_b28,0.0008
MythSerene,0.0570
70sBachchan,0.8679
eturleye,0.7427
Merz,0.7698
YonSolitary,Error
AgnesWold,0.9933
The_Unwoke,0.8451
YarosisNancy,0.0330
Mel4Justice,0.3812
fwdcrocblu,0.2713
hichachu,0.4511
edeysal,0.5448
vivchook,0.9232
awelab1956,0.2514
jorgeluisaliaga,0.1030
PortaSong,0.6465
gojomo,0.2718
BeautyAbounds4U,0.0780
SandDollar04,0.8182
LonsdaleKeith,0.8229
GlenwoodNate,0.0593
les_deplorable,Error
MoNscience,0.3849
Sortex,0.8604
Mingoelddif,0.9995
SIERRAxGIRL,0.5292
Neoavatara,0.9760
Porkchop_EXP,0.9940
Molson_Hart,0.4639
nanogenomic,0.2117
chadloder,0.8975
NorthBelle4,0.8754
askeamonn,0.9886
ChrisitnaG,0.6416
leahmcelrath,0.0704
ElliAdventurer,0.9994
HawkScreams,0.8508
_johnbye,0.9956
hbdchick,0.9386
BadFoxGraphics,0.9157
SafaMote,0.0027
notdred,0.3770
xuchuanmei,0.9629
DanielleFong,0.0947
dollymad1812,0.9911
Bruno_J_Navarro,0.9351
MerlotVine,0.7534
kraster,0.9800
JuliasJam,0.8537
sunnshiiny,0.9994
TheValuesVoter,0.6436
stopcorona2020,0.9871
MicheleD2020,0.0600
ArayAromaz,0.0007
KoenSwinkels,0.8102
ArmonRaE,0.9154
TwinTurboCe1ica,0.9895
TerryLerona,0.4822
EUnotCoup,0.9356
estarianne,0.7056
Aaron_Derfel,0.3955
Clarksterh,0.8126
realhumanrights,0.9762
AviFlyGirl,0.8840
OOrlova,0.6900
IanStockport,0.8431
ASlavitt,0.3878
Crof,0.5672
AlexVita9,0.1042
ManFromMarina,0.0712
thehowie,0.9154
ergroovt,0.4875
2020Smiles,Error
Cannibal_Sauce,0.9981
statesdj,0.7864
Trumpery45,0.7725
amyriscool,0.9440
NewcastleGardia,0.5252
whois_John_Galt,0.9552
abc730,0.0758
murtaman,0.9224
vharrelle71,Error
DeanObeidallah,0.8601
donna_place,0.0155
juliaoftoronto,0.2083
Varro_Analytics,0.6978
JudBock,0.9643
tiger_girl2000,0.8941
cjs3872,0.3539
Fronterakid,0.9039
rainmaki,0.7070
CNNnews18,0.0096
CristinaDragani,0.7966
RedDotUna,0.4053
duanepoole,0.9854
fignon_laurent,0.8625
MataeQ,0.9812
firefoxx66,0.4438
laurence8645,0.5325
Pace1013,0.9872
commanderdata85,0.9992
jlz0z,0.6475
jsheyWC,0.4023
aloa5,0.4896
MihulkaS,0.9844
BolognaFishMD,0.9185
JSegor,0.9997
HarrietteSucher,0.8516
AF632,0.2337
GottaLaff,0.7565
RencapMan,0.1396
NickSzabo4,0.9934
Bob_Wachter,0.0474
EricTopol,0.1694
EthicalSkeptic,0.9273
joannekarma,0.9680
Out5p0ken,0.8652
ConstantRebel55,0.5951
cristo_monte,0.9871
scottleibrand,0.2539
undarkmag,0.6620
KindrachukJason,0.0142
breiterbart,0.9696
pedsscrub,0.9840
JodieHMoss,0.9881
nancylevine,0.9997
COVIDRisk,0.9381
TeaJunkie1,0.3939
jasonmn,0.9999
MurielMccormack,0.5366
EmpathSuper,0.9978
mundo01,0.7515
verycosmic,0.9936
DavidG02986909,0.9871
BoobyJargon,0.6641
donald_j_putin,0.9133
redned59,0.9857
FinchHaven,0.1901
savillj013,0.6088
9Joe9,0.4560
Otpor17,0.8257
MartinRemains,0.3778
hatefreeworldX,0.9819
justin_hart,0.1352
diannemando,0.8770
TurntableKittah,0.7400
mattbc,0.9988
video4me,0.9695
BRICbreaker,0.9932
DPWIMM,Error
QuatrainGleam,0.9872
SuMoh7,0.1787
marygribbin809,0.9951
SallyDeal4,0.1515
GephenS,0.8899
JoeSilverman7,0.3136
EmperorBlargus,0.9612
dkegel,0.9178
HeartbrokenCan1,0.9967
BishopBlougram,0.6148
lalytatweets,0.4058
mujerpescado,Error
jneill,0.9778
AmitOjha2019,0.0984
docrocktex26,0.6567
IridescentAshes,0.3418
Professing_Prof,0.9998
kk131066,0.9403
JohnMarcmail,0.9993
BrocqChristine,0.9958
GraceSm16250397,0.9997
SharinStone,0.9717
kathycalm,0.5334
VMadge,0.9742
StephaniaBecker,0.9971
kerpen,0.9977
EndTheOligarch,0.2743
HobbesMatraca,0.1294
OldMackIsBack,0.9714
OZmandia,0.5832
DrKynast,0.0413
Emobunneh2,0.0104
MamurphyMaureen,0.8570
RukhnamaLives,0.7807
Gergyl,0.9898
erikhalvorsen18,0.8455
Cheaptarts,0.7939
JewhadiTM,0.9730
JohnronP,0.1018
Deeenst,0.9897
nscrowba,0.9996
MazurekRob,1.0000
__ice9,0.2819
drandreaskruger,Error
digiphile,0.9113
21WIRE,Error
lifebiomedguru,0.9660
BBCPropaganda,0.9983
wildwestpie,0.9984
ScottGottliebMD,0.0243
TedCornwell,0.9691
joel_mossong,0.4578
FrankfurtZack,0.1358
GrumpyOldDoc,0.9936
slovborg,Error
BarbBanfieldRN,0.9018
kevinrns,0.8613
lividddh,0.6020
shellyrn143,0.9644
scientwest,0.9977
Facts_n_Facts,0.9009
Zippo88lrr,0.3664
Stijl,0.8713
Notyour28981739,0.9999
DragonCat936362,0.9688
benFranklin2018,0.9852
mac_puck,0.9910
jq1234t,0.0777
RELenski,0.1865
baginski_lisa,0.9245
NAChristakis,0.0637
Angie_RejoinEU,0.9969
SCDisme,0.9253
PuestoLoco,0.9995
Danaiolos,0.9476
stevejacksonHN,Error
ERN_Malleyscrub,0.9813
AM_McCarthy,0.0768
gemluvr257,0.9880
sussrbr,0.0252
Shirleyinaktiv,0.3464
andnowsheisnot,0.9819
atrupar,0.2493
vcdgf555,0.7263
KoparaFallsKid,0.8604
ThomasS4217,0.0567
akuma_river,0.9574
karolcummins,0.8112
JJ_Angelus,0.7004
BogochIsaac,0.7062
SFDukie,0.9808
mangrovegirl,0.0255
photo_journ,0.0607
JanieResists,0.7902
1CaptD,0.9999
WhenstonedC,0.7345
SPQ_ESQ,0.8457
SCS_Disputes,0.2868
psomdecerff,0.6199
florian_krammer,0.0219
AbraarKaran,0.0257
Rosenchild,0.2031
sircontraire,0.9872
RWwatchMA,0.6983
pjie2,0.2824
Pinboard,0.9260
kelly2277,0.4710
ProSuja,0.5244
MLAnder87321751,0.2324
RunRichRun,0.2997
MarcusBeam1,0.9785
evenbev,0.9534
eliowa,0.8717
Dovewoman1,0.9452
AmericaDialogue,0.0293
fairchild01,Error
atulbutte,0.2888
DavidPDuffy25,0.9949
sqirlgirly,0.9602
Absurd_Penguin,0.9754
DrZoeHyde,0.2085
snigskitchen,0.4107
CaliLiliIndies,0.9070
SoulFlyTry,0.9660
NiceGoingAdam,0.0004
StandfieldKen,0.6791
VioletReads,0.1269
AlephsMom,0.9419
Ssimms777,0.9328
AndreasShrugged,0.0391
SpringSteps,0.9990
Ezinger44,0.9804
kateneuropsych,0.9214
WZH100,0.5581
DelthiaRicks,0.1898
MsMariaT,0.7236
missykender,0.9593
MtnMD,0.1049
critica18495985,0.9929
bywillpollock,0.9974
cibuco,0.2410
ElonBachman,0.9898
metaburbia,0.8856
zeynep,0.1749
emzorbit,0.1978
graywolf442,0.0194
tmprowell,0.7239
leftcoastbabe,0.3856
Dry_Observer,0.9801
robinhanson,0.8487
RWTrollPatrol,0.0665
audiblevideo,0.9427
GrayConnolly,0.9239
futurepundit,0.8820
basementvegan,0.9545
AdamJKucharski,0.0053
ismailfahmi,0.8602
GidMK,0.4256
BanksResearcher,0.0296
_almond_tree,0.9929
stgoldst,0.3420
MoodyBlx,0.9591
Tokyo_Tom,0.9873
Biomaven,0.1196
oommen,0.1864
WADeptHealth,0.0351
Woodyman502,Error
crabb_vicki,0.8634
ChildrenNeedUs_,0.5451
SMacMillanMD,0.9160
BallouxFrancois,0.5328
lisakarina,0.9993
FUTURENEWS2020,0.9972
ektaka,0.0229
dingologue,0.9834
tracyk726,0.9265
covidperspectiv,0.8002
merlinoontheweb,0.7988
TwitZanne,0.4341
PattiUSBLUE,0.6816
HelenaofTroy60,0.5821
JacobGudiol,0.8771
CTZebra,0.9321
kathies01,0.5027
Luciuxness,0.5974
KatieOGrady4,0.8711
NaphiSoc,0.8566
nicolamlow,0.0078
bibbleco,0.9621
Stopcorona,0.1191
desicool21,Error
Democracy_DMV,0.9914
Astartiel,Error
JeremyFarrar,0.1013
InconvenientTr5,0.9980
monicaMedHist,0.5789
clearing_fog,0.9925
blankslate2017,0.8334
peterktodd,0.9967
SMBWhitney,0.7871
gingermarauder,0.9487
RaulDia83746319,0.9998
humbertorosero,0.6182
bobsaget2018,0.9995
losivad,0.9384
music_fan2020,0.0248
perchance99,0.9974
StefSimanowitz,0.9667
GeopoliticalJD,0.8015
EvieDaisy3,0.9409
peachybrets,0.3816
jhengstler,0.3654
jeanetteimpia,0.9993
NYDailyNews,0.4319
tbluvoter,0.9058
Numbers28,0.9898
LaPetitMorte,0.9495
M_T_Franz,0.1051
brucewilson,0.9899
ZaleskiLuke,0.2479
PCribbett,0.9972
TheSWPrincess,0.0277
Cruellaisdevine,0.9924
jpb1467,0.9184
Monte_Alto,0.7639
FerrazzanoJay,0.9952
Minervasbard,0.7531
ichbinschoener,0.3908
_b_meyer,0.1735
hjelle_brian,0.3594
MikeOkuda,0.0223
tontonlove,0.8648
zawy3,0.8682
cos_meyer,0.0579
jfurlan14,0.3687
backyardsage,0.9595
USlawreview,0.9995
PeterKilmarx,0.7708
RARohde,0.0983
edwinveldhuizen,0.9992
EricBillyFR,0.8193
PrometheusAM,0.6116
CapitalPrivate1,Error
phl43,0.2955
RealNews_Facts,0.3287
soltysik_rob,0.9801
kathyawatson3,0.9986
blancamesa,0.9672
nataliexdean,0.2259
bostonsculler,0.7636
XavierAbadMdG,0.0305
PeterMerlinCane,0.9875
WarrenPlatts,0.5062
anndylian,0.9988
doctorshaib,0.0456
alliemarie777,0.9965
mustangmadd,0.9874
summer7570,0.9123
rescuedogs03,0.9106
jamewils,0.8099
xenosstinkriti,0.9734
piyushmittal,0.6276
jbmtweetz,0.9845
TheJayCalledLee,0.9761
BradHuston,0.7026
CathyJoeGPT,0.3462
JuanGrvas,0.1035
Titus_VIII,0.5729
mattprescott,0.9979
kegill,0.7512
noybsk2017,0.7870
MauroV1968,0.9795
Nardeus1980,0.9088
dvder01,0.0075
WndlB,0.7178
Jackson90771068,Error
GorwayGlobal,0.9580
WernerT_Man,0.5687
SusanStone110,0.0066
RitasReel,0.9911
daniel_bilar,0.9510
jackhutton,0.9870
ProfLWiley,0.0641
Loves_Equines,0.4395
mspanish,0.7552
CHHolte,0.9646
TuckerGoodrich,0.8801
PinchandScrimp,0.9881
Fogfaaja,0.2536
SusanLouise1977,0.3841
AlexBeisenherz,0.0587
gregggonsalves,0.2359
Dressdinyello,0.9830
MyP_Chicago,0.9903
0Bettymowery2,0.9896
pegj_,0.9774
antonioripa,0.3750
LaLaRueFrench75,0.9993
mopeng,0.9733
DarnelSugarfoo,0.9775
SharonMcAuley7,0.7219
WendyOrent,0.7541
ForgeRat,0.9677
sallyeastman1,Error
HeleneFernand16,0.9919
thesecondellen,0.0497
SanhoTree,0.9203
curiocat13,0.5293
badsciencemonk,0.9571
BaddCompani,0.9950
lizzardo7,0.1712
patricksavalle,0.9999
kellumdander,0.4927
JDawsonTweets,0.6007
DrAhmedKalebi,0.0469
mayer_iras,0.7794
MdFacep,0.9860
Pam1010101010,0.8594
CermwgpSue,0.9980
LizDolphinfluff,0.2860
tsetiady,0.0891
BlueTX2022,0.0861
jenbrea,0.3933
ITGuy1959,0.8267
KHerriage,0.9851
IslandGirlPRV,0.6309
PriyankaPulla,0.9468
aparanjape,0.7020
Arriadna,0.9639
PlaysTrumpCard,0.9918
TutorCambodia,0.7640
mog7546,0.9967
CDCDirector,0.4681
andrw100,0.8739
DoctorHenryCT,0.9229
OverUnderClover,0.1565
VeritasEver,0.9863
bopanc,0.9625
Timewalkproject,0.9982
BCquakehelp,0.2737
daithaigilbert,0.2095
SinoVoices,0.2865
Samoskal,0.9388
KevinlyFather,0.0291
MMFill,0.3753
Socratic1,0.9270
MsAmyMacPherson,0.6934
SunandSipCups,0.9508
LukeMor19529310,Error
Celeste_pewter,0.4774
TrinityResists,0.9388
MaxCRoser,0.4353
hfeldwisch,0.5387
JuneSim63,0.9932
doritmi,0.9180
whatifisaidit,0.8596
peta,0.9914
LibertyBlitz,0.8614
javid_lab,0.3481
ddiamond,0.0470
emmevilla,0.7282
Monaheart1229,0.8618
pash22,0.3960
NumbZombieMom,0.9168
ItsOverNowOk,0.0025
openpodbaydoor_,0.9310
LLPoliticsNews,Error
ungerbn103,0.0784
AFathyn,0.9870
