screen_name,score
jawapos,0.0985
KellyRek,0.9999
Expresoec,0.0381
OneindiaBengali,0.3555
cl_diff,0.8741
Expresoec,0.0381
ServPublicosVe,0.9870
CoronaLiveStats,0.1793
franceinfo,0.3263
dailymailindia,0.0490
Expresoweb,0.0085
h24news_us,0.9815
RsaCovid,0.0583
covid19_monitor,0.6497
edithfalcon,0.0112
AprilHare4,0.0844
VaguthuOnline,0.0598
AfraniodeAquino,Error
akynnis,0.1209
rcnradio,0.1428
ApnaSmartphone,0.4484
biswaranjan412,0.0147
CHVNoticias,0.0079
abendblatt,0.7401
yuliadiana1,0.4820
uc,0.9891
Open_gol,0.8960
ahmetisitez,0.8592
DominicanosNYC,0.2073
prameyaodia,0.8544
bcnlegends,0.6617
televicentrohn,0.1828
VIEmediaNEWS,0.0195
soloposdotcom,0.1342
FAZ_Vermischtes,0.5300
scheel_lala,0.6038
coronaluege,0.3030
PolsekTgw,0.0124
hoicodovn,0.9039
valenciaplaza,0.2876
indiaedudiary,0.4604
geloraco,0.1720
LeoninoJorge,0.0044
x4xATfHkdsgdAL4,0.2279
elpotosinet,0.3918
RahulSi60262144,0.0069
noticiasprensa,0.2115
NaijaNews,0.0303
Dobieblue,0.6535
CoronaScanner,0.9173
myglnews,0.1191
omnigist,0.3632
SputnikMundo,0.0575
adityak73591660,0.0048
lmtnews,0.0178
SputnikMundo,0.0575
hariankompas,0.0335
rcnmundo,0.0298
budzis,0.9732
EurasiaReview,0.9070
MSNindonesia,0.0713
ahval_tr,0.0358
iamrehan1986,0.0390
galiciapress,0.5518
smith0000121,Error
foggybottomgal,0.8387
beritaminangcom,0.0464
Radio_Formula,0.0308
TheFrontierPost,0.9863
GazetaRu,0.0489
runews24ru,0.0067
ghanaguardian1,0.3111
El_Clarinete,0.6988
thatstamil_,0.9051
FastWorldNews5,0.0103
EuroZpravycz,0.9926
noticiashoyweb,0.2327
JanetWa94118686,0.3160
mrakcreation,0.1170
i_trafficKZN,0.1631
ugamatv,0.9158
dw504966,0.7950
eluniversocom,0.4665
DiarioMarcaOax,0.0268
dailystandnews,0.0850
michelelefevre1,0.9953
kpcwriter,0.9081
brasil247,0.0019
CNEWS,0.8356
jonathansurbak1,0.0012
UOLNoticias,0.0019
NowNewsPK,0.0713
otcdynamics,0.0188
rooms_data,0.0586
ElBigDataMx,0.0607
kibris_postasi,0.3699
SPIEGEL_alles,0.2324
DiarioTiempo,0.5267
senactu7com,0.0310
antarapapua,0.2790
TelediarioGT,0.0866
mjbtimes,0.9178
khabar_pakki,0.0201
el_dinamo,0.1246
tromepe,0.1246
BRKINGCORONAVRS,0.9173
e_consulta,0.0220
ZHMalayalam,0.0221
