userid,user_screen_name
402520406,Abbott19Julia
53142262,iamgregk
874753056944082947,JPAZMN
297670560,clumpdud
3040066599,CalifQuail1969
1208798744,AlwayzTrumper
1195479023297716229,GuenSpencer
331728788,LarryBurkCEHP
1349523445185454081,dazhillbilly
4831347854,teresa_piatt
275397354,_IDONTCOMPLY_
331206819,fionavbenson
218981783,byrnes_terence
2267928775,_magic_circus
98769374,indigosky9
50969799,Valafl
28666128,rosalieofaustin
1166514286769975299,MeganL77
117705218,ShanayeMuhammad
1235952591646773253,Paulina57256038
555063919,1citizenpundit
33884157,70181049a
591160667,JudieMaron
1014488638908968962,BleuByron
1143700197848969217,aces2269
816878195257540608,dasoulassassin
1319207131195887616,UrbanPump
1150491362950647809,Azarius_777543
2416377421,Expendable45
26108460,jill_shank
1256001395511013377,jackiesulikesit
1661687665,slifeeam
1342662917301407744,studentveronica
199553343,DCGreenZone1
995686645910274048,MADSENSORY
1253813744414703616,nakatsu28
1205327933902131201,AhmedRashardX
847353067,JoyfulHandsTher
1064992387091460096,CTelaviv
636292745,2021Freedom1776
1167476245694599168,shane_lim
407455407,Darbusstop
934281310826389504,jgoericke
313476349,sandraf04397162
20264147,sureshshaw
3292332352,Dani30437303
3167694075,Rod4777
3242282429,ekowatts
1246705552006221824,teagreenmint
742030082282295296,KY_Kandy
898840968,SharonRayball
391429595,walden_wolfgang
3053786963,bkFreedomForAll
76410194,FullerBrian
959985086866141184,KarinaZdB
40918443,val46316382
194489115,jereveveille
1350297918880829443,AZDeploralove
175859679,lily95075891
1214594442914611200,MotherEarth1011
1158557862747971585,Gershon64932392
1377364517819047936,Frank_tells_it
1254380463063523328,stuntlaura
1096153511694295041,YouGotT25656772
2316065196,Louisgpd
983379353122803713,DrCook007
921071002116870154,DrMitsopulos
2797329242,dispicable2020
1238489582628294658,RostAmanda
1103436186943512577,drea_ams
307736878,CatW44
356195126,nothenewrndtbl1
578463741,RealJayParker1
1556818862,MiepBos
40487624,sweetjlowe
28391565,littlorangefish
1325109716700307456,TylerRose1536
75274078,Blueyes9445
836766857776492544,redpilled101
400475649,OnePokerMind
2935685779,BlueSkySunFree
1223389344976769030,Cjk857
1058530204388352003,julien0686
1261042883043393538,Kamaref
859780896,ms_medimushroom
364584478,flyingdancer
715082513,ArtofeVan
887801737,Callie31807095
1314666986878595072,dmcollins28144
1220497362247962624,KullenSarah
262522708,yakno120
1224708270151077889,KatieJ04560306
340875095,zebulun40
99379216,FrankyS70610781
2530758806,JosMirek
1030265454420533248,thewoness1
3862673718,cat17534
2198395957,hinojos_tom
1348733150776721411,godwontlikethis
781965025082826752,SaraNicholeOG
20995744,RobertBonin14
1329088356618170376,TimbangFernando
1108138077246160898,seki_yo
1256997824371318787,NewsKauai
74225171,KriyaOaira
195979282,gosser567
256138776,BenMarroquin
1244972505791684609,semonaco
849064347888480256,Florantine11
144675881,dad_liams
4496550393,therealbiostate
1260228804158652423,evernewecon
2999863005,hmcrewB10542500
3056904064,SierraDante
1214860522002235392,Noodle4T
1325818722259505152,MomFluffyz
1275646346,AngieM55972784
1303969135160889345,jeff29935001
2562814182,LesleyGale2
2174511884,BIGMIKECORLEONE
1270509135855882240,Heidi559Heidi
144690720,maribearj1
707224081,Nick29433777
758971631293214722,LW91939
2358490897,NoEasyBrushOff
2515442839,LotusGirlL
1242841869777883139,jackcolleton
1023062304,LadyBret
3018591801,lily_oh_lily_
1326976844642603010,uponyaji
59908391,tidwell_don
8010542,drshimek
950243887645249536,coreypepper3
178665364,Alex3332202
750334447,jamiehinkle
79789868,OrtonPatrice
79785647,DonaldShimoda4
882664026991349760,JohnnyGK4
837081562797772801,evae1960
915240567482830848,iamgepic
463227847,AlohaEvery1
630776093,realty566
1251604441519841282,ABIGAIL_GRITS
1169351226674176000,SJenterprises
2570986745,HeidiJaster
1304222424167329804,ringer_yo
1074348436336472066,AndRealisation
262222003,LindaC_Reiki
161685142,kathaleend12
130616568,IgnisMemore
45882989,chrisjsmith14
238785383,SandraMeireles2
84043874,Christi99177680
953871086864748544,franco_dimuro
2360450804,wakeupsleepers
938012799699005446,sheran1248
1233394431077863426,eileen970
3002935007,CarolynRude
1000843531286609920,GreySouthwick
23036183,shopperann68
1094535902267953152,genivieve60
3301042497,WakeUpFrance31
799023325599199232,patykayks
24993884,Revelation2041
1153407767924957184,Franca1p
1288934223991263248,AnnaMariaCLC
154676382,ANormal67
128753624,Soozieceu
700717211535585285,styrohome
1656778566,JaPennz
978372152,LepaDinis
127082289,PilateswithJill
15661214,MichaelBuerger8
1299989402190520321,monis1013
128690061,Kosmovin
2387459084,vijay09038126
25932837,PeteAntico
1380134935118417920,MarkVaccines
28471475,ContinuouSafety
207703739,JaguarmcMc
73928056,AlinGaman
1237941196795924480,barb78405439
2719910007,0d491526f7544e4
50637291,teacher_choice
822613921563607043,HappyBigGrin
2876381351,astrolab0123
157045115,victorykn
1203373109857923072,Moshy41185805
3207261286,roshini911
1287826622444220417,JacDeNiro
16584124,Winicubang
1118563336508125185,afctintin
965568655344926721,Alex88249021
752236056238432257,MoneCharl
4866625996,adiktive956
560555551,cicigici
769410830,LaRouquinedu1er
191005840,swan92678832
1482429438,RichardBaird
1170715225756188672,GrobisR
1174099964642746368,mother_verge
764745673,MariMagforever
914254440,A_Blue_Dragon
1230119538156621824,MusicKap
825042877197737984,Carolyn86061809
839981933144731648,3dom13
2443243128,Rainbow_Golden
1392450798,Ukrayan
46141112,flamencovibe1
1390538514,RightCoastProJJ
109150320,Thass283
735101078,KathyBassett1
1240395389519486978,nakaka_
151078795,joerobertson
23231925,MassimilianoRPP
1236703910204760064,LammertAlbertus
3172430939,RoseLyne_Saura
2961527294,ISHINE22
3180231871,MindyHarley
978962616,JeantetChristi7
1677169333,joanietorre
69099686,owlcovegirl
351172025,LaLaRueFrench75
2625933469,AtlasToAxis
1315563333433597953,TBestCRE8
1157675838290055168,Joris_Claeys
1029115547332620289,ICtheprisonbars
1215413537335586818,IsLoriwas
1288096167545450496,sureshdevandas
196453992,PeterAh56097733
2195049319,gord_russell
351499769,PrachiKudale
2436868567,deepervidz
