userid,user_screen_name
140947202,Dottie12012069
918847452618346496,miketcope
2236589798,Miguelito_xx3
1224543291695226880,1finekitty
816682174267133953,Joey_G_615
74367223,B0risR
1181117034035171328,kygg62
2334173726,njzimme
1241816914969722885,virginiajeffr
141898605,ArrozConMel
1949776927,Jooxie212
1135652583572463616,SrMac14
799343836614885376,BigFunk__
514806103,Sadkielz
1169265983145435143,ogarro
18453278,sunitalodha1
111412750,HerneHill81
1150022616167714816,B_Albaradi
931198543,HJTucker
577385558,BeeInurBonnet86
2998674372,LPOnlineDoctor
1036007489165291521,diaspora_uganda
22896074,luvnotes69
6295782,PaulOutBox
1167624081887379456,AnnMatlack
411702313,strong_bio
1206104470440026112,editwriteBarb
796278043530567680,NellieWelc
1127256108,Tollgrinder2
702244455529709569,debchasse
20406802,cimness
166568338,Junipertwo
4777814309,alexandreafonso
166997702,BrianRiggsUK
125830526,Bernicles1221
782261848238329857,WeirDoug
1166011642338893824,tristan79
216072291,Allegro_W_Brio
116722061,LucienJaskulski
360692755,Jointhebarn
224721074,DannyJosephDan1
816814951901765632,EmmanuelAdukwu
921731472,authorKQ
35997832,DrDeaRoberts
839130741686566913,EdithConkey
332997713,wanderingsapien
145703465,mangion11
864816334227607555,WiserUTips
917790619,markhealey
3164223060,ed_tunna
1188854851029082113,CarolineLuWu
314320818,grindlearnrise
80173833,sergiocoloradoc
487843556,cphelan
81701028,KristinWorley4
390840611,CampbellVille
1659431144,evisher
1143194668739563521,KeungVansy
38025787,Chess_1967
804938454,Sanmar678
411576503,strangeenough
1115784079,mary4esta
82921585,RodriguezGIMD
1453914164,GarciaFrankie20
297424134,DaleYuzuki
20158859,littleboy2020
180490926,darlin
805589381100630016,815wrldtrvlr
62198191,ryallster
890345180917903361,fandumac
2400429697,RahimiSamira
818937805573410819,BRigginP
3220414333,leo_barbour
260642484,NTiras
1582652312,jpokeefe
828227027090206720,followeroffoll2
1273214000,jello_oleg
307633493,JohnKabairo
287424432,NatalieJoti
1044607777161842688,elfriesen
45905665,bazilmajeed
104929660,CrowdedHead
68322643,since4ev
288540422,_chris_brooke
64657863,guloskaylar
1936631299,rameswaram
1264428991,TopNotchPanch
30223403,Gint09580664
785174374978457600,dontdwellsl
1445771226,k272479
309563727,ArchaeoMapper
1201592440676859904,TheMisterP
1246994012004892674,ipkmaven
125131962,qveenabby415
727701926544969728,Wizardisms
25081451,scheino82
31054788,andrew_korst
1015362794877747200,canisgallicus
632399033,SanchezMaree
202003,douglasscraigky
2556891253,allysonshughes
94405218,CrustationK
22021978,YoungInKim115
89032300,TheWestBay
1231732383470280704,SaluaMarun
15258565,lighthouse_7
16245971,idrealistic
1190463319888584706,matandoCONesto
340545072,MyHealthKit1
402298102,soul_scourer
48699398,lfmlufema
222115949,TheAWSmith
2239111442,DrMel_T
776126255309676544,luis_rmza
833925931559325697,Suheartfield
14623332,ArchLaver
901678092422332416,jeremyDZ015
798472118,drDarkins
798947913191727104,Dianelouise1231
3398293937,sarahjeanious
4880286856,dan_mcquiston
40158401,asuerden
29198361,kevinat_thomas
4003409091,mmehenriquez
511977831,carinahaley
370786412,Beymariz
427951019,bpmackinney
913171723,forestsomewhere
734667949370314752,DenzelScott
16827148,dana916
2801219135,lennyc71708706
357624034,HimILove16
1681414135,miracalix
50545387,PandorasCatBox
14598828,healthy_climate
160461968,prchovanec
799965930151440384,tiffani019
80798115,lynn_marwood
843075703365091328,BenDuBose
860555190,SpicyTricia
958892820,Jamie_L_Y_
1010620369865093120,SarahKeizer
257339630,darrinkrussell
50576527,LondonSherbert
123372273,SayangRe
1106992079199264772,michelesea
890765972184944641,sartoris1960
495590465,SaleemulHuq
183322059,ChinaKennedy
841806182973095937,Matthew12183661
27908507,DeniseKuehnert
2664155578,pkafka
88220464,PdraicFlood
329106483,bbyuce
14597362,sunny_hundal
753301531,LadyM244
873553249915326464,corona_alert
1451639906,dswerdlick
37227593,Daneuntamed
274296498,WelcomeToMyTho1
970724735565910017,Kloppen
26468760,heartfulloholes
1229187794012164101,yasmina_ss
1281930811,SHN006
313634941,waynesadin
337452094,krazykitkatm
66669602,JulieBehre
928867843512213504,arnohb112
225578662,PammysParcels
2490254221,lucyht1
1517158344,johnson_davos
733269457,ProfessorIvanHo
870225891212705792,3travelmonkey
950745060500389888,wp0704
808866169734066176,Terradork
1022804358,tarquis
800867074289434624,maynotbecool
1887272935,asmanorth
705722682,ewlamy
1080559467840847872,m_mckenna2
400235192,cococannolis
909883382,Blvck_Nana4
124873840,geunsik1001
706541231996846080,ChristopherJM
36195992,luana_palmieri
1032313026291159040,GoldenRuleHR
1099794562745278464,GEAUXJayna
751670046506745856,chrisolearyrose
6479502,ElMystico
459588994,myinwit
252710997,TrevorDmusic
26602204,christysevans
429563368,jamilwest
363180823,krissie_legg
949993477,NicolleDWallace
3041856570,MalorieY_RN
62317029,LillyMaura
940705970451288067,RepublicanHypo1
452535704,3xistentialist
25717423,Wahrhaftig
1442995694,milleire
119580247,McphersonDewey
1245801074,joei_13
1551532544,JJCCAA_
1090809561425027073,heatherbonham
87554613,Cherylchristo17
479137504,Slipperman2
464032273,m_csu
952762998438932482,JulianMartinezA
390039185,SharonPrewett
1242887370720055296,Quirky_Kwallen
832448725087813633,lastbohemians
284693528,cocygath310865
820952025571688449,AskelandLori
20829322,ShawnGalin
1532492910,ChingedyChing
1224375239938846720,saluspopuliorg
2257208002,JustineBibine
257442876,AlMuntges
274909596,bleigh6
18362967,fwe1991
1338202375,_gingerbeard__
28378779,Mohamad51255680
528261651,Siba_Mtshi
14740572,pajeon7949
815950615360598016,Blodwynsfriend
490764827,Florian_Vienna
801239984875376641,AndyDomek
805775428078174208,piccini_judy
874755661,AmanGill_89
355120180,IanFelipeSays
782960695323353088,namichopper1
1017071638775463942,jessicajaiswal
44438054,Jeff__Charlot
21115321,BDRodgers55
1252281953715445762,CAAustinite
16798604,mbcaldwell11
39635084,dcwynn55
1023412324949000193,cari68lea
1168960613953019905,mikybartoli
756058429,Sarkastik_Pupil
255347117,TemelRES3
204547280,5280high
2835179069,PatriciaTisda12
96133674,chan_exi
18004650,themintmag
21019684,iomegadrive
33205694,auspisabundance
185792178,gorgeous_manon
959526123939000321,rodrigobarnes
3255598815,LauraCanaday23
633047565,bkaydw
768052599757082624,BrianLR19728
3004648666,breiiana
825916456734830592,JRo_Hamilton
1905173376,mariyah_ahmx
713571065516003328,retiredTMM
981430933269241861,Wingsfixed2FlyO
233659139,redrun_
1385517193,EnviroDi
755609377386532864,Kierceldwen
214931201,bobbiejaneV
44273915,CI20181
18725633,Edogg24
165836121,danlindgren90
942674485,perksofjessica_
2287758534,bruce79038687
248711306,cstross
16478320,puckle13410354
351319538,buttercup2473
44438054,_curious_one
2220763525,sisterpopcorn
859883599079911424,Glic
8277022,danny_perezzz
244268899,healthlife777
137036008,tkreider24
23641551,dsaava
2311193425,Its_Ire
907599152397406211,lizcmessier
113409471,harris5ok
711376569273454593,Cydley
149493109,JamieGump
284723377,kevinrj
2527049646,shawnclare57
3045954710,MsOCHubbard
824744253850947584,Tkay161
245784564,TastanOznur
5729842,now_justice
283221097,gulattee
1690038312,AndyChristia11
2832673653,samdmid
476532557,Susemgf
178016738,Fake_McAlinden
1298708520,JennaRiikka_
85580168,FatVeganCommie
742126379748188160,PublicAccessPod
367921709,LahmanKenneth
1013183579684126721,TrevorW83092671
1701256376,mjgyea
1038296623132987393,D1ux
2384443116,NeighborhoodFLM
2962571709,DrMay5
1194932731,briangoff
707814336501293057,mgoldsmith
121941304,ChristieMacFad
1205847857141624832,DodoMedia
4149811826,knobstick
4217729237,WomenHoldTheSky
377718670,mehdi_arafa
60273742,zunran
198657874,DAntoonsS
59696341,Karrenstani4
309831103,realAAAbbott
121356992,RedUnscripted
1117204717329879040,sandyherr2
64247359,fmonaldi65
1224078440179163138,kennid13
394977028,manjkaur21
805364498,lachispa123
2432445577,JTspartz
1144416383670870018,dharmabum974
784509227494674432,RRalstonAgile
1201707594114424832,Mc_Heckin_Duff
3033243234,DatNumbaPhive
835077631120830464,Nomaken1
409881053,MaruneBoy
1110183154567008257,carlosruizsaenz
1236116465465675777,indyintx
813800480430292995,_ISpeaktruthh
243966479,Susemgf
875291797936885761,cmb1010
194356254,drgregbyrd
258928741,kappuru
1152777469738528768,Kommander632
14326908,MattChenault
2323448533,zabackj
2941034488,BOBSarmymom
264605134,DisVisibility
25777530,banh_mamii
53441915,KittyLouise1
302679082,dennydorko
278284775,drrbpatil
75322835,egmanzanilla
789404739595218944,lennartvdl
822412292184768512,KurtLass1
40443989,BandiDog8
1241215562698481666,coffeytawk2
23747551,kmwry
34032202,Marcelvelazq
4217729237,TurquoiseBlue78
245005524,chrisjoosse
956537947,ShropsFidgetpie
14230309,neverrmetme
1169262870397194241,bmangitli
945070061676646406,tmelste
1174004489801453568,LisaHeloonrse97
360144447,epi_curve
1089576230,MyLittleRescues
920277535,WargockiPawel
17031934,Bayunkada
260273591,AlisonCoon1
54798326,KateKizer
1067563226655641600,Susie_Resists45
347562985,mqdicer
4403567493,adri6606
1186365706503442435,curiouser1920
1069715153728495616,divadmiles
1392234476,SarahADunne
137564056,NrvousFella
716265472,Gabber07
3485360835,HerosMojo
1201229225853882369,amautajorge
31251709,Swagman_79
3025990960,angelicalemus
1239349523261972480,CCMKAZAKHSTAN1
162209354,Swiss_Danny_67
747861980434804736,AnthropoceneM
361377611,azmishabab
53852473,TimDalgleish
346926651,RajeevBhatia416
1184369559953915905,Rjoadsm
573249214,Will4William
1239613138657595392,Jaybee784225091
877130754941177857,kate1428571
1025747765177942016,Coeleborn
253313989,sltdragon
368153063,mariamreda84
711235485981614080,ThxCur
83298515,mnmrxraneem
1234364340305678336,JPerzsky
892618449402200064,T_Barbs
52230962,SophieTaysom
299308906,dhilnav
103586274,APxBrown
37084832,DrLisaFardy
757350856316497920,tomkit08
347935699,SpiroAgnewGhost
980125176988930049,CainKredge17
824157980740489222,spydrbite
333590423,Charleym_
1874792017,dsparks003
1184588090570133510,BruinEric
1064378120,Shaneussy
46658928,ASTMH
23617636,ProletStrivings
779677452586975234,MagnoliaPrince5
45379403,JamesTa72655213
819751665381216258,ClaiborneY
820756575916883969,TheInstructor9
197820749,bricamac
2786977433,sahilgup
2437805502,SarahADunne
191411848,welshycan
756949298395348993,Hatcj120
237421629,peyton_mcmanus
1581214567,GailRRT
337277656,andy7218311001
3344913501,seejaydiced
153001152,ferfuxsakes
954813761206005760,JiueinYang
14393756,Fitzy_Red
2978588578,dmatkins137
472667916,Hermionejh
735454447904686081,NatNedelkovska
722940787772641280,keeFS
161325286,GajdusekMark
826997590893793280,PollySpin
1212278941332824066,airmodus
22047164,JorgeMa28166352
918085291,Kathleenona1
709129059888930817,ABernstein6327
1050365541414817797,katieguye
1421283930,sam__l__
825851387019919360,fillesdeharriet
233657361,GeoffQuinn4
19497898,RobboLaw
2366079146,WheelerpretPat
4899113286,PlagueYearNurse
31268470,satjapan
839999736,prof_ebert
2793357232,akpandey25
93593869,niyas987
711154324,wickedlysteph
111022257,Joyce16276707
824187103,matthewryanxx
2583549373,hucklebuck305
392421939,JoacimRocklov
3627037398,AngusLou
889431692536152065,Eric0Lawton
908062224983511040,aralious05
1227058219488612353,arkmd1
19324682,untoou
3385048329,eastunicorn2
818462171189411841,Turner_1603
1114923973937127424,PoliticalAnt
4850536349,deconstructr
1120023546,AlexBacon1980
807273206012923904,larryliwg
572799831,TrapTVShow
1252010806839042048,SusanStraley
211239659,FawkesNewsKisP
1128227826870566912,ShanahStone
282101033,keemmazni
812437291,lifesciexplore
958530491778502658,Liamdoonhamer
1229187765381816321,_RL_W
28522284,jillbed
846392728502128643,roblevine82
715953992,williemillersm1
76465097,Aprylsmithts
2477370298,Davy_Acko
2358319206,PudwellDoug
69581222,SolsticeWorld
1162757419664986112,CSuojanen
2523282487,joedunford200
14771118,Reine__Audu
1970398459,ehpatel
76638344,Lola50636721
214687943,seapunk
905828148,cjkallevig3977
53008979,mmfuentes31
1146146451505864704,charliebumps
289021312,smuckingbool
889099861,pierrotinnyc
4760934230,SSaluseke
98885886,Erikavago78
880474997676015619,JoseGalvezz
710810649060741120,mshaffer5371
389339737,CSavanti
2884272956,Viniciuspr28
985568548213936129,HammerTime_419
103094212,Wahlforscher
418476335,code_name_v
36234571,BDebbie2000
560589129,tewchinzz
15948522,RedClover6
20117115,Know_HG
19127931,SamTajari
14095895,tjrfranklin
91694133,lstirchak
1572369128,taratrying
234796740,ThePup70
258877271,intrstngtimes
2663720876,kblackerbeast
1958426960,kpalmer00111111
475165737,jaysquivel
18060974,amybabs511
112005512,2shealucky2
1545053600,eeekabee
2322895164,EnamCam
66537775,sarahlrj
1189704168,houstonliketxs
456087468,NZSkeptics
221191994,celinebellot
59487571,Undeadbowler34
3013743546,ToreGodal
1043927541285883906,whoopityscoot
2901141972,vickster387
1219250355592187904,samsing
476414232,RobAbramowitz
708800580995522560,BareFootDave1
1470308634,moirabriggs10
1156198915248668673,tahoppe05404
36175755,VerdiCarla
1239124278378979329,lucamakinen
2355240318,Zallion
528656553,AmericanCharlie
10066732,vasman60
365563789,Lakhend46257958
1135523962052460544,mewniepie
1696322767,CorbettEva
993068006174613504,niclexacosta
975540274003959810,Nanato7N
46045364,filippodibari
962630370,DJC513
2472112885,trevk37
331938334,elforatdelpany
2760118261,DaianaNOTdiana
937069404,BowiedipDe
717098643715698688,daymeireles_
999934464804433920,Submis
14306228,failedfoodie
14051880,gdcl11
704087161667088384,ylld
183792884,denshadorabushi
400698501,masahiron
1242860164362846208,42bcurious
96404879,speakout_april
316134435,duzza007
64096943,YVHg9ycDFgAZW6k
17437733,WonpiI_Day6
1138219634241527810,chrisj3417
1114532498875342851,tamitao2
118711084,skopein_
938145907,davetienne
952239264,damian_godden
233717008,yung_wild_fre
20398161,KitPerriman
2819896787,hanger_clothes
14166503,Art_Hampton
617635218,DiscoStew66
83223457,elainesxm
3980171243,DBerrettBrown
1963728307,jmwolfinbarger
802865699077165056,MarCNuf
1140984921357504514,DeedeeAlert
2826813408,itarjan
23117491,PhillipWSerna
30282704,johndickson72
1290020456,patetlesfilms
704069873782169601,caston1949
177734955,GlobalisedMinds
2520768927,tracynblythe
2452907310,chujo9
2923113670,vaidGS
30208427,jeffrey_ventre
1125816204797591557,JacquiAnnC
302866002,dr_romrub
4556883024,ForgeRat
854876913432760320,DutchNorris_
1417146067,jmp1133
457177015,jutamans
55237018,eyedeas604
75029548,sociallytech
801998789070491648,BatstoneJC
1236086645411188736,SreyasiBiswas
498548587,sophiesmother95
121584236,ke_esler
34230474,Blvckpatriot
24570498,chocolatbises
413230559,rachel_maria65
1105595368585220097,IamTjai
2914270210,unstuckpolitics
1232360804004945921,LChaix
283830150,StaukeJanina
166303550,fearlessjoy2me
3515806582,lordeactivist
3258749659,PolomiM
178915021,AdielGavish
2724107938,The_Burns29
